"Superkingdom","Kingdom","Phylum","Class","Order","Family","Genus","Species","COG_Name","COG_Category"
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium extorquens","",""
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus","Ribosomal protein L23","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unknown","Unknown","Membrane protein TerC, possibly involved in tellurium resistance","Inorganic ion transport and metabolism"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus helveticus","Beta-galactosidase/beta-glucuronidase","Carbohydrate transport and metabolism"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus brevis","Ribosomal protein L3","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Unknown","Unknown","Unknown","Uncharacterized protein YcsI, UPF0317 family","Function unknown"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Unknown","Unknown","Unknown","Unknown","Ribosomal protein S6","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia coli","Preprotein translocase subunit SecB","Intracellular trafficking, secretion, and vesicular transport"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus","3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase","Lipid transport and metabolism"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia coli","NAD-dependent DNA ligase","Replication, recombination and repair"
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","Rhodobacter sphaeroides","Ribosomal protein S21","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pectobacterium","Pectobacterium carotovorum subsp. carotovorum PC1","DNA-directed RNA polymerase, beta' subunit/160 kD subunit","Transcription"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus helveticus","Ribosomal protein L27","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Unknown","Unknown","FoF1-type ATP synthase, alpha subunit","Energy production and conversion"
"Bacteria","Unknown","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus","Ribosomal protein S3","Translation, ribosomal structure and biogenesis"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase","Coenzyme transport and metabolism"
"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae","",""
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pyogenes","Glycyl-tRNA synthetase (class II)","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus lactis","Translation initiation factor IF-3","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia coli","Ribosomal protein S3","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Rhodococcus","Rhodococcus rhodochrous","",""
"Bacteria","Unknown","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","Janthinobacterium sp. Marseille","Ribosomal protein L31","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Enolase","Carbohydrate transport and metabolism"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Ribosomal protein S14","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma gallisepticum","",""
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Citrobacter","Citrobacter koseri","Ribosomal protein S13","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Brucella","Brucella suis","5-enolpyruvylshikimate-3-phosphate synthase","Amino acid transport and metabolism"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unknown","tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA","Translation, ribosomal structure and biogenesis"
"Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae","Translation elongation factor EF-Tu, a GTPase","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiaceae","Rhodococcus","Rhodococcus rhodochrous","Ribosomal protein S14","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus delbrueckii","",""
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","Escherichia coli","Ribosomal protein L18","Translation, ribosomal structure and biogenesis"
"Eukaryota","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales Family III. Incertae Sedis","Caldicellulosiruptor","Caldicellulosiruptor saccharolyticus","Ribosomal protein S5","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus plantarum","",""
"Eukaryota","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","Aspergillus niger","3-phosphoglycerate kinase","Carbohydrate transport and metabolism"
"Bacteria","Unknown","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis subsp. subtilis str. 168","Translation elongation factor EF-Tu, a GTPase","Translation, ribosomal structure and biogenesis"
"Eukaryota","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Magnaporthe","Magnaporthe oryzae","Ribosomal protein L28","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Brugia malayi","",""
"Bacteria","Unknown","Cyanobacteria","Unknown","Chroococcales","Unknown","Synechococcus","Synechococcus elongatus","",""
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Unknown","Unknown","Unknown","Ribosomal protein S21","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus helveticus","Trans-aconitate methyltransferase","Energy production and conversion"
"Bacteria","Unknown","Cyanobacteria","Unknown","Chroococcales","Unknown","Cyanothece","Cyanothece sp. PCC 7425","Ribosomal protein L29","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella loihica","FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)","Posttranslational modification, protein turnover, chaperones"
"Bacteria","Unknown","Firmicutes","Bacilli","Lactobacillales","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma pneumoniae","",""
"Bacteria","Unknown","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Cellvibrio","Cellvibrio japonicus","Intein/homing endonuclease","Replication, recombination and repair;Mobilome: prophages, transposons"
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Unknown","Translation elongation factor EF-Tu, a GTPase","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","",""
"Bacteria","Unknown","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis subsp. subtilis str. 168","",""
"Bacteria","Unknown","Firmicutes","Unknown","Unknown","Unknown","Unknown","Unknown","Ribosomal protein S8","Translation, ribosomal structure and biogenesis"
"Bacteria","Unknown","Actinobacteria","Actinobacteria","Actinomycetales","Unknown","Tropheryma","Tropheryma whipplei","Molecular chaperone DnaK (HSP70)","Posttranslational modification, protein turnover, chaperones"
